category,difficulty,question,answer
Algebra,Very Easy,What is the value of x in the equation 2x + 4 = 10?,6
Algebra,Easy,What is the value of 2a + 3b if a = 3 and b = 5?,21
Algebra,Easy,Solve for x: 4x - 6 = 10.,4
Algebra,Medium,Simplify the expression: (3x^2 - 4x + 2) + (2x^2 + 3x - 1),5x^2 - x + 1
Algebra,Medium,Solve the system of equations: (2x + 3y = 7) (4x + 5y = 13), x = 1 and y = 2
Algebra,Hard,Factor the expression: x^2 - 5x + 6,(x - 2)(x - 3)
Algebra,Hard,Simplify the expression: (2x^2 - 3x + 1)/(x^2 - 4), (2x + 1)/(x - 2)(x + 2)
Algebra,Very Hard,Find the inverse of the function f(x) = 2x - 5,x = (y + 5) / 2
Algebra,Very Hard,Simplify the expression: (2x^2 + 5x + 3)/(x^2 - x - 6),(2x + 7)/(x - 3)(x + 2)
Geometry,Very Easy,What is the area of a square with side length 4?,16
Geometry,Very Easy,What is the perimeter of a rectangle with length 6 and width 4?,20
Geometry,Easy,Find the volume of a cube with side length 3.,27
Geometry,Easy,What is the circumference of a circle with radius 5?,10pi
Geometry,Medium,Find the length of the hypotenuse of a right triangle with legs of length 3 and 4.,5
Geometry,Medium,Find the area of a trapezoid with bases of length 5 and 7 and a height of 4.,24
Geometry,Hard,What is the perimeter of a regular hexagon with side length 5.,30
Geometry,Hard,Find the area of a circle with diameter 8.,16pi
Geometry,Very Hard,Find the volume of a sphere with radius 6.,288pi/5
Geometry,Very Hard,Find the length of a side of a regular octagon inscribed in a circle of radius 10.,10sqrt(2)-10
Pre-Calculus,Easy,What is the equation of a circle?,x^2 + y^2 = r^2
Pre-Calculus,Easy,What is the quadratic formula?,x = (-b ± √(b^2 - 4ac)) / 2a
Pre-Calculus,Medium,What is the domain of f(x) = sqrt(x+2)? Please respond in words only and leave out punctuation marks here., zero to infinity
Pre-Calculus,Medium,What is the value of cos(pi/3)?,1 / 2
Pre-Calculus,Hard,What is the derivative of ln(x)?,1 / x
Pre-Calculus,Hard,What is the integral of e^x?,e^x
Pre-Calculus,Very Hard,What is the derivative of arctan(x)?,1/(1 + x^2)
Pre-Calculus,Very Hard,What is the integral of sec^2(x)?,tan(x)
